Date,Std Week,Rain,Evap,Max Temp,Min Temp,Wind Velocity,Solar Radiation,Bright Sunshine
4/5/2018,14,0,7.6,36.6,21.2,7.4,18.4,6.9
4/6/2018,14,0,7.6,36.4,20,7.4,14.8,4.6
4/7/2018,14,12,11.2,36.4,17.2,11.5,18.3,4.1
4/8/2018,14,14.6,6.8,35.2,17,7.4,17.5,5.2
4/9/2018,15,0.7,2,33.4,18.2,6.3,20.2,6.5
4/10/2018,15,0,6.9,35.2,19.4,4.3,22.1,8.9
4/11/2018,15,0,8.5,34.8,20.8,7.4,21.4,8.6
4/12/2018,15,0,8.1,35.6,19.6,6.5,20,7.9
4/13/2018,15,0,8.5,36.4,22.6,5.8,22.8,10.1
4/14/2018,15,0,10.4,37.2,24,7.5,23.5,9.7
4/15/2018,15,0,10.7,37.6,25,8.3,21.4,8.6
4/16/2018,16,0.4,3.2,33.6,22.2,4.6,12.3,2
4/17/2018,16,0,9,37,21,4,22.1,9.4
4/18/2018,16,0,10.6,39,23.2,6.8,21.8,9.8
4/19/2018,16,0,8.6,38.6,23.4,4.8,22.5,8.7
4/20/2018,16,0,11,39.8,24,4.9,23.4,10
4/21/2018,16,0,12.1,39.6,20,6.9,23.9,10.3
4/22/2018,16,0,10.4,39.4,22.2,4.2,24,10.8
4/23/2018,17,0,10,39.6,26.2,6.9,19.1,8.3
4/24/2018,17,0,12,39.6,23.6,8.2,22.7,10.3
4/25/2018,17,0,13,39.8,23.4,8.6,23.6,10.6
4/26/2018,17,0,10.7,39.6,23,7.2,21.9,10.1
4/27/2018,17,0,10.3,38.4,25,8.2,19.1,8.3
4/28/2018,17,0,11,39.2,25.6,7.1,21.6,10
4/29/2018,17,0,9.8,38,22.6,6.4,22.3,10.2
4/30/2018,18,0,11.8,41.6,23.2,6.5,22.9,10.4
5/1/2018,18,0,13.1,41.2,22.6,6.7,23.7,10.6
5/2/2018,18,0,12.9,41.6,23.6,9.4,23.8,10.5
5/3/2018,18,0,10.6,40.6,24,6.7,22.7,9.8
5/4/2018,18,0,9.6,38,21.4,12.3,15,5.2
5/5/2018,18,0,8,37,24.6,7.2,21.8,8.8
5/6/2018,18,0.5,9.1,39.6,21,8.8,21.4,8.6
5/7/2018,19,0,10.6,39,25.6,6.7,20.3,7.1
5/8/2018,19,11.6,10.6,40,25,6.5,21.7,8.9
5/9/2018,19,0,9,40.2,26.2,4.2,22.1,9.3
5/10/2018,19,7,7.8,39.6,25.6,8.9,15.9,6.5
5/11/2018,19,0,6.8,36.8,26,6.5,19.6,5.3
5/12/2018,19,0,10.7,39.4,27.4,6.2,22.9,9.9
5/13/2018,19,0,9.4,39.8,23.8,6.9,17.8,6.2
5/14/2018,20,0,8.4,37.8,23.6,6.8,18.3,4.8
5/15/2018,20,0,9.8,37.8,22.4,11.9,17.2,6.7
5/16/2018,20,0,9,37,24,5.2,22.6,9.9
5/17/2018,20,0,8.4,39,26,6,21.6,8.4
5/18/2018,20,0,8.8,40.2,21.8,7,19.8,7.1
5/19/2018,20,0,8.4,39.2,26.6,5.8,20.8,7.9
5/20/2018,20,0,12.4,41.2,27,8.8,22.7,9.7
5/21/2018,21,0,11.5,41.4,25.6,6.9,22.1,9.4
5/22/2018,21,0,11.5,39.4,26,8.2,20.4,7.7
5/23/2018,21,0,9.3,39.4,25.8,5.2,19.8,8.3
5/24/2018,21,0,8.8,39,25.8,6.7,17.9,5
5/25/2018,21,2.2,10.6,40.4,25,7.8,21,7.4
5/26/2018,21,0,11,39,24.6,8,20.1,7
5/27/2018,21,0,12,39,23.2,20.2,21,9.4
5/28/2018,22,0,10.8,39.2,26,7.5,21,8
5/29/2018,22,0,11.4,40,24,6.5,22.2,9.8
5/30/2018,22,0,12.4,41.6,23.6,9.4,21.9,10.2
5/31/2018,22,0,9.2,39.8,27,7.4,21.2,7.8
6/1/2018,22,3.8,8.8,39.8,23.6,8.7,19.7,7.7
6/2/2018,22,33.4,9.2,38,21,5.7,16.9,4.7
6/3/2018,22,4,0.8,27.2,23.8,2.6,6.8,0
6/4/2018,23,6.4,7.6,36,22.2,7.7,20.1,8.8
6/5/2018,23,0,8,36,22.2,7.2,21.7,8.3
6/6/2018,23,0,8,37,22,7.3,21.4,8.6
6/7/2018,23,4,7.3,36,21.6,9.2,19.9,7.9
6/8/2018,23,0,5.5,36,22,9.4,12.5,0
6/9/2018,23,0,6.2,31,20.4,8.4,12.4,0
6/10/2018,23,0,6.2,34.2,20.6,12.8,18.5,5.5
6/11/2018,24,0,6.2,34.2,22.8,13.2,16,4.3
6/12/2018,24,10,6,34.2,23.2,12.4,11.3,0.4
6/13/2018,24,0.8,6.4,33.2,23.6,12.8,12.8,1.6
6/14/2018,24,0,7.2,35,24.2,11.8,19.9,8.6
6/15/2018,24,0,8,35,24.8,10.9,20.2,6.1
6/16/2018,24,0,11,36.2,24,12.4,21.7,7.7
6/17/2018,24,0,10,36.2,24.8,11.6,18.8,8.2
6/18/2018,25,0,11.6,36.4,23.8,14.8,20.3,7.9
6/19/2018,25,0,9,34,23,14.6,17.7,6.5
6/20/2018,25,0,9.2,34.8,24.2,10.6,21.3,10.1
6/21/2018,25,0,10.2,36,24.8,7.8,21.3,10.9
6/22/2018,25,0,9,36,24.4,8.5,19.8,8.7
6/23/2018,25,68.2,10.2,33.6,21.6,5.3,11.3,1.6
6/24/2018,25,0,2.4,30.2,22.4,7.4,13.7,2.3
6/25/2018,26,0,6,31.6,22.2,11.5,17.1,9.2
6/26/2018,26,0,7,32.2,22.6,14.3,15.6,3.9
6/27/2018,26,0,8.5,32.6,22.8,14.9,17,3.8
6/28/2018,26,0,7.2,32.2,22.6,13.5,16,1.8
